# Catalog of 6,669 unique galaxies from SDSS Data Release 1
# In addition, galaxies are selected by the following conditions:
#    12 < rPetrosian < 17.77 
#  0.01 <  redshift  < 0.30
#    good imaging magnitudes,
#  212 < RA < 228 and -1 < Dec < 4
# The listed parameters are:
# RA/Dec: equatorial position in decimal deg.
# redshift, determined from SDSS spectrum
# DM: distance module for WMAP cosmology (magnitudes)
# absolute magnitude Mr = r - DM
# u and r: model magnitude, u-r=2.22 is a good separator
#          of spiral and elliptical galaxies (see Strateva et al. 2001)
#
#    RA         Dec  redshift   DM     u      r  
 217.16821    0.60982  0.105  38.41  19.94  17.25 
 217.20616    0.62546  0.051  36.77  18.29  16.93 
 217.38596    0.49381  0.056  36.95  19.22  16.55 
 217.31755    0.56538  0.054  36.87  18.13  17.04 
 217.33101    0.49422  0.138  39.05  19.35  17.37 
 217.37956    0.54872  0.057  36.99  19.32  17.33 
 217.56241    0.62139  0.026  35.27  17.99  15.81 
 217.44492    0.42415  0.054  36.90  17.93  15.26 
 217.45479    0.52229  0.087  37.96  19.57  16.92 
 217.49144    0.50134  0.086  37.95  18.97  16.35 
 217.53552    0.55730  0.130  38.91  18.83  17.05 
 217.56059    0.52526  0.130  38.91  19.61  16.66 
 217.48587    0.57886  0.148  39.21  19.12  17.01 
 217.51088    0.42866  0.103  38.37  19.36  17.27 
 217.54019    0.58109  0.136  39.01  18.56  16.29 
 217.55861    0.50983  0.096  38.20  19.18  17.36 
 217.66724    0.42525  0.130  38.91  19.50  17.20 
 217.60193    0.49099  0.129  38.89  19.84  16.93 
 217.60020    0.48748  0.130  38.90  19.45  16.85 
 217.72298    0.46287  0.013  33.78  16.85  16.09 
 217.73502    0.52966  0.136  39.01  19.84  16.93 
 217.65565    0.54612  0.148  39.22  20.03  17.51 
 217.72536    0.56452  0.135  39.00  20.06  17.31 
 217.76047    0.55569  0.095  38.18  19.12  16.47 
 217.80333    0.62805  0.163  39.44  20.60  17.51 
 217.79309    0.42190  0.088  37.99  19.40  17.43 
 217.97585    0.51573  0.131  38.92  18.97  16.09 
 217.99202    0.49707  0.137  39.02  19.22  17.14 
 217.90263    0.49607  0.130  38.91  19.41  17.58 
 218.05881    0.60472  0.121  38.73  19.09  16.24 
 218.14441    0.45552  0.031  35.65  17.97  16.25 
 218.35991    0.50707  0.078  37.72  18.31  16.89 
 218.48836    0.58634  0.222  40.20  20.40  16.88 
 218.38748    0.51486  0.079  37.74  19.21  17.34 
 218.43883    0.41981  0.079  37.76  19.07  17.20 
 218.52441    0.62009  0.030  35.60  16.04  12.95 
 218.54694    0.61575  0.030  35.57  18.27  15.68 
 218.52795    0.60739  0.032  35.69  19.91  17.39 
 218.81410    0.56376  0.216  40.13  20.42  16.84 
 218.83220    0.47574  0.030  35.53  16.24  14.57 
 218.89853    0.57365  0.124  38.79  20.02  17.47 
 218.94073    0.58098  0.109  38.49  20.20  17.33 
 219.11490    0.61740  0.137  39.03  19.33  16.26 
 219.13763    0.43286  0.072  37.54  18.60  15.98 
 219.19691    0.62794  0.110  38.51  19.25  17.25 
 219.21225    0.44918  0.137  39.03  19.87  16.79 
 219.35593    0.42271  0.109  38.50  19.68  16.68 
 219.25040    0.56475  0.035  35.89  18.69  17.44 
 219.77979    0.50864  0.033  35.80  17.15  15.52 
 219.88116    0.56102  0.151  39.26  19.84  16.73 
 219.86592    0.54890  0.150  39.24  20.06  16.98 
 219.89284    0.53148  0.150  39.25  19.64  16.72 
 219.93871    0.53120  0.117  38.65  18.54  16.68 
 219.90472    0.62904  0.141  39.10  20.01  17.34 
 220.11653    0.48896  0.110  38.51  19.95  17.12 
 220.12241    0.58410  0.037  36.05  16.75  14.71 
 220.00027    0.42210  0.115  38.61  20.20  17.23 
 220.01398    0.50784  0.280  40.77  20.85  17.49 
 220.18152    0.46476  0.109  38.50  19.11  16.41 
 220.24756    0.56159  0.109  38.49  18.93  16.09 
 220.86049    0.47262  0.178  39.65  19.95  17.22 
 221.00565    0.49172  0.101  38.32  19.71  17.27 
 221.27774    0.49476  0.110  38.51  18.91  17.12 
 221.30756    0.49839  0.110  38.51  19.62  17.25 
 221.26372    0.52701  0.029  35.48  16.64  14.69 
 221.33112    0.42068  0.176  39.63  20.34  17.25 
 221.77435    0.58558  0.096  38.19  19.55  16.66 
 221.71121    0.46861  0.056  36.95  18.34  17.12 
 221.76863    0.49367  0.171  39.57  19.10  16.77 
 221.90860    0.56075  0.172  39.57  20.08  17.47 
 221.84013    0.61172  0.075  37.61  19.16  17.16 
 222.16559    0.44778  0.035  35.89  18.08  16.63 
 222.22679    0.46286  0.034  35.87  18.13  16.29 
 222.48907    0.55829  0.040  36.20  16.93  14.37 
 222.50902    0.57878  0.041  36.24  17.60  14.96 
 222.54958    0.54358  0.040  36.18  17.34  15.30 
 222.53561    0.61460  0.041  36.24  18.72  16.37 
 222.55815    0.55748  0.040  36.20  18.57  17.13 
 222.80750    0.44753  0.064  37.26  18.31  15.91 
 222.85722    0.46586  0.154  39.31  20.46  17.16 
 223.35110    0.59664  0.045  36.46  18.42  16.00 
 223.49141    0.42592  0.046  36.52  18.54  16.55 
 223.80515    0.60869  0.044  36.40  17.45  15.84 
 224.04619    0.44727  0.035  35.91  18.15  16.20 
 224.22742    0.42042  0.183  39.72  19.95  17.40 
 224.37149    0.59526  0.078  37.72  19.68  16.85 
 224.37956    0.43744  0.084  37.88  18.27  16.50 
 224.46304    0.52610  0.177  39.64  19.65  16.85 
 225.05977    0.46368  0.097  38.23  18.93  15.97 
 225.07835    0.46925  0.084  37.89  19.73  16.73 
 225.16994    0.47965  0.041  36.26  19.12  16.53 
 225.18213    0.49017  0.042  36.32  18.11  15.36 
 225.20250    0.49240  0.043  36.35  18.61  16.10 
 225.20918    0.43299  0.036  35.96  18.12  16.96 
 225.25964    0.53728  0.097  38.21  19.20  16.38 
 225.27348    0.53045  0.036  35.95  17.81  15.17 
 225.28450    0.51421  0.036  35.98  18.88  16.53 
 225.40643    0.62406  0.097  38.22  19.32  16.77 
 225.45242    0.45321  0.088  38.00  20.36  17.56 
 225.60185    0.53201  0.131  38.93  19.33  17.25 
 225.60400    0.48944  0.117  38.65  20.20  17.46 
 225.81902    0.54116  0.053  36.83  19.32  17.07 
 225.80145    0.46863  0.041  36.25  18.09  16.25 
 225.84627    0.57169  0.162  39.44  19.67  16.86 
 226.10083    0.46195  0.097  38.22  18.97  16.90 
 226.16760    0.60452  0.040  36.22  17.24  13.17 
 226.13847    0.61679  0.040  36.23  18.62  16.20 
 226.22408    0.62322  0.065  37.30  18.55  16.08 
 226.26634    0.60685  0.123  38.78  20.29  17.46 
 226.33528    0.58718  0.224  40.22  20.94  17.34 
 226.36061    0.61737  0.225  40.22  20.84  17.28 
 226.66400    0.53780  0.092  38.10  18.85  16.73 
 226.69984    0.50776  0.035  35.92  17.27  14.60 
 226.57965    0.46752  0.218  40.15  20.08  16.62 
 226.83176    0.59535  0.072  37.54  18.42  16.09 
 226.84839    0.54635  0.064  37.27  18.85  17.21 
 226.94313    0.49508  0.078  37.73  18.38  16.74 
 227.12930    0.56838  0.089  38.03  19.80  16.93 
 227.18156    0.57197  0.090  38.05  18.91  16.10 
 227.32054    0.62436  0.092  38.09  18.58  17.00 
 227.19640    0.55879  0.091  38.07  19.86  17.09 
 227.35121    0.58986  0.089  38.01  19.97  17.34 
 227.44272    0.59280  0.089  38.02  18.50  15.60 
 227.37943    0.55687  0.059  37.07  18.86  17.39 
 227.39714    0.50544  0.095  38.17  19.04  16.24 
 227.47108    0.55839  0.087  37.98  19.91  17.38 
 227.37865    0.51328  0.096  38.19  18.43  16.41 
 227.37277    0.44801  0.095  38.18  19.01  16.72 
 227.54883    0.51929  0.153  39.29  19.44  16.85 
 227.48383    0.51628  0.088  38.00  18.73  16.57 
 227.67039    0.57710  0.039  36.17  19.27  17.05 
 227.66972    0.48588  0.073  37.57  19.15  16.48 
 227.67189    0.44417  0.073  37.55  17.89  15.05 
 227.67450    0.46154  0.073  37.55  17.99  15.84 
 227.91748    0.52065  0.172  39.58  19.43  17.52 
 227.78276    0.61181  0.118  38.69  19.91  16.96 
 227.81027    0.58405  0.213  40.09  20.62  17.15 
 227.80463    0.61012  0.145  39.16  19.69  17.29 
 227.91200    0.57724  0.124  38.79  20.02  17.25 
 227.97121    0.62031  0.123  38.78  19.07  15.95 
 227.94231    0.44725  0.092  38.09  19.46  16.52 
 227.96249    0.58353  0.124  38.79  19.67  16.83 
 212.07373    1.01410  0.125  38.81  20.49  17.40 
 212.34019    1.02775  0.058  37.03  18.82  16.29 
 212.37672    0.99675  0.145  39.16  19.48  17.45 
 212.43260    0.92337  0.201  39.95  21.29  17.28 
 212.39787    0.99451  0.095  38.18  19.05  17.40 
 212.40282    0.87606  0.146  39.18  19.11  17.30 
 212.63884    0.88767  0.125  38.81  19.43  17.22 
 212.64525    1.01836  0.178  39.65  19.73  17.38 
 212.68782    1.04635  0.026  35.21  18.60  17.12 
 212.74039    1.03575  0.025  35.20  16.52  14.28 
 212.74274    0.86693  0.180  39.69  20.04  17.47 
 212.75172    0.93576  0.105  38.42  19.86  17.05 
 212.72894    0.98583  0.180  39.69  20.98  17.51 
 212.77170    0.94279  0.125  38.81  19.78  16.92 
 212.78857    0.96997  0.124  38.79  19.89  17.24 
 212.87534    0.98665  0.149  39.23  20.12  17.61 
 212.93440    0.98128  0.094  38.14  18.27  16.63 
 212.81160    0.86320  0.125  38.82  20.05  17.18 
 213.01382    1.04257  0.145  39.17  19.21  17.63 
 212.97433    0.98480  0.159  39.39  19.36  16.88 
 213.10582    0.90752  0.054  36.88  18.70  16.91 
 213.24637    1.01410  0.053  36.84  16.90  15.72 
 213.24681    0.92118  0.053  36.84  18.22  15.80 
 213.12846    0.90051  0.053  36.83  18.50  17.32 
 213.31097    0.91774  0.234  40.32  20.60  17.43 
 213.36568    0.91534  0.123  38.78  20.07  17.25 
 213.26532    0.98110  0.054  36.87  18.67  16.84 
 213.29657    0.84462  0.164  39.46  19.61  17.19 
 213.48567    0.89642  0.053  36.85  18.42  17.02 
 213.67662    0.87129  0.265  40.63  21.71  17.25 
 213.55415    1.03951  0.124  38.79  19.14  17.23 
 213.58875    0.88158  0.107  38.44  19.49  17.10 
 213.58154    0.93831  0.267  40.65  21.18  17.32 
 213.79819    0.93584  0.123  38.78  19.54  16.71 
 213.72667    0.93504  0.123  38.77  20.14  17.04 
 213.77872    0.94306  0.123  38.78  19.98  17.02 
 213.82658    0.98792  0.184  39.74  20.81  17.47 
 213.82951    0.89093  0.123  38.77  20.25  17.39 
 213.83330    0.94143  0.069  37.45  19.35  17.61 
 213.83498    0.89410  0.144  39.15  19.81  16.81 
 213.91280    0.99363  0.188  39.78  19.32  17.16 
 213.92398    0.94628  0.120  38.72  18.93  16.24 
 213.95515    0.92980  0.185  39.75  19.67  17.08 
 214.14781    0.88664  0.026  35.21  18.18  16.71 
 214.17282    0.98565  0.174  39.60  21.35  17.25 
 214.16942    0.94202  0.084  37.89  18.77  17.17 
 214.17415    0.91740  0.084  37.89  18.70  17.17 
 214.19962    0.91145  0.084  37.89  17.88  16.07 
 214.26128    1.03489  0.155  39.33  19.71  17.23 
 214.38582    0.88281  0.056  36.96  18.68  16.97 
 214.41821    0.92019  0.054  36.86  19.03  16.44 
 214.33202    0.85180  0.174  39.60  19.94  17.32 
 214.56213    0.89111  0.026  35.25  15.91  14.24 
 214.54768    0.86640  0.120  38.72  19.83  17.19 
 214.56970    0.98627  0.053  36.85  18.94  16.66 
 214.51680    0.90698  0.078  37.73  18.00  16.36 
 214.52258    0.88848  0.120  38.72  18.25  16.36 
 214.58661    0.98426  0.129  38.89  19.21  17.46 
 214.59012    0.94962  0.026  35.26  18.76  17.52 
 214.71571    0.90134  0.173  39.59  19.97  16.72 
 214.71823    0.88852  0.129  38.89  19.53  17.23 
 214.80020    0.87573  0.127  38.85  19.17  17.27 
 215.02615    1.02861  0.127  38.84  20.49  17.06 
 214.99374    0.99211  0.169  39.53  20.70  17.02 
 215.03387    0.98071  0.102  38.35  20.65  17.48 
 215.01807    1.00184  0.118  38.68  20.07  17.22 
 214.93245    0.99747  0.127  38.84  19.05  17.21 
 215.03627    0.98975  0.171  39.55  20.18  16.68 
 215.06758    0.85584  0.103  38.35  19.12  16.15 
 215.08049    0.93572  0.127  38.85  19.94  16.74 
 215.16423    0.89214  0.126  38.84  20.30  17.11 
 215.16927    1.01793  0.170  39.54  19.90  16.71 
 215.18555    0.97647  0.168  39.52  20.38  16.62 
 215.06628    1.04765  0.126  38.83  21.26  17.32 
 215.14850    0.99391  0.170  39.54  18.99  16.89 
 215.15372    0.94218  0.170  39.54  20.43  17.35 
 215.29501    0.84960  0.085  37.91  19.38  16.64 
 215.27156    0.85296  0.167  39.51  20.70  17.59 
 215.27811    0.95380  0.169  39.53  20.61  17.37 
 215.27730    0.95343  0.168  39.52  21.09  17.33 
 215.30858    0.96491  0.170  39.54  19.94  16.93 
 215.27243    0.86510  0.054  36.89  20.12  17.53 
 215.42035    1.02342  0.078  37.71  18.82  16.11 
 215.46594    1.02522  0.078  37.72  19.00  17.46 
 215.48721    0.92841  0.127  38.84  19.49  16.33 
 215.43381    1.03347  0.077  37.70  19.21  17.32 
 215.43425    0.85252  0.169  39.53  20.26  17.22 
 215.40701    0.84465  0.169  39.53  20.80  17.34 
 215.59941    0.91372  0.126  38.84  20.21  17.46 
 215.51320    0.86208  0.036  35.97  17.57  16.04 
 215.57199    0.89205  0.127  38.85  18.91  17.21 
 215.64137    0.93323  0.127  38.85  19.92  17.39 
 215.75372    0.90523  0.104  38.38  19.30  16.48 
 215.72398    0.86590  0.151  39.27  19.36  17.20 
 215.81120    0.97835  0.040  36.21  16.92  14.92 
 215.82716    1.01570  0.040  36.22  17.90  16.55 
 215.86134    0.95490  0.126  38.84  18.81  15.87 
 215.89322    0.97948  0.095  38.17  19.56  17.57 
 215.90105    1.00763  0.040  36.22  18.35  16.01 
 215.87247    1.03545  0.151  39.27  19.15  17.22 
 215.90324    0.99449  0.126  38.84  20.23  17.46 
 216.09052    0.88863  0.055  36.93  18.08  16.65 
 215.96043    1.00433  0.074  37.60  18.67  16.64 
 216.03857    0.98852  0.216  40.13  20.30  17.36 
 216.18932    0.95721  0.096  38.19  19.16  16.95 
 216.21921    0.95934  0.117  38.67  19.01  16.92 
 216.36646    0.84893  0.158  39.37  20.23  17.06 
 216.26279    0.84076  0.158  39.37  20.47  17.34 
 216.35052    0.91399  0.125  38.82  18.90  17.01 
 216.43881    1.01589  0.142  39.12  19.91  16.72 
 216.53497    0.90821  0.125  38.81  19.07  16.85 
 216.40846    1.01263  0.055  36.91  17.93  15.99 
 216.48537    1.01510  0.125  38.81  20.47  17.68 
 216.55409    0.86059  0.032  35.71  16.58  14.51 
 216.60805    0.84970  0.127  38.85  20.04  16.90 
 216.62558    0.84499  0.127  38.85  19.62  16.78 
 216.64319    1.02241  0.127  38.85  19.34  17.23 
 216.66542    0.84988  0.145  39.17  19.78  17.08 
 216.63300    0.84536  0.124  38.79  20.23  17.40 
 216.69479    0.94729  0.145  39.16  18.78  17.24 
 216.81064    0.99034  0.052  36.81  17.03  16.21 
 216.72116    0.96290  0.026  35.27  16.66  15.32 
 216.75267    0.86914  0.125  38.81  19.30  16.46 
 216.83485    1.02590  0.026  35.22  15.95  13.00 
 216.75708    0.91026  0.124  38.79  20.33  17.24 
 216.81291    0.93109  0.052  36.81  19.12  16.78 
 216.71132    0.96700  0.144  39.15  19.16  16.88 
 216.81949    0.99308  0.052  36.81  18.62  17.62 
 216.90392    1.01785  0.111  38.53  19.08  16.82 
 216.91139    0.90795  0.117  38.65  19.25  16.91 
 217.01889    1.00634  0.026  35.22  15.63  14.06 
 217.08768    0.93661  0.126  38.84  18.78  16.68 
 217.12143    0.84749  0.126  38.83  20.25  17.10 
 217.11745    0.84181  0.126  38.83  19.61  16.80 
 217.02675    0.89446  0.115  38.61  19.12  17.18 
 217.11479    0.95186  0.101  38.32  20.30  17.39 
 217.11913    0.93637  0.136  39.01  19.27  17.43 
 217.11844    0.93481  0.115  38.62  19.13  17.08 
 217.22153    0.99288  0.114  38.59  19.34  16.54 
 217.22417    0.99598  0.113  38.57  19.88  17.01 
 217.27625    0.96419  0.037  36.03  18.59  17.59 
 217.30229    0.85042  0.054  36.90  18.17  15.42 
 217.33966    0.95905  0.139  39.06  19.74  16.91 
 217.35176    1.01230  0.087  37.97  19.32  17.08 
 217.43274    0.89145  0.123  38.78  20.03  17.04 
 217.44247    0.88428  0.123  38.77  19.06  17.39 
 217.50240    1.04610  0.030  35.55  17.31  14.70 
 217.55600    0.85288  0.212  40.08  20.30  17.01 
 217.48462    0.87094  0.124  38.79  19.40  17.10 
 217.60106    1.04744  0.190  39.82  21.23  17.62 
 217.60768    0.98323  0.123  38.78  19.89  16.94 
 217.61732    0.98028  0.124  38.79  20.07  17.30 
 217.69505    0.90006  0.128  38.86  19.96  17.03 
 217.71933    0.95064  0.133  38.97  20.07  16.92 
 217.68771    0.90719  0.138  39.04  18.99  17.13 
 217.71931    0.96060  0.135  39.00  19.06  16.43 
 217.83855    0.92964  0.068  37.42  19.57  17.34 
 217.80539    0.92201  0.124  38.80  20.22  17.48 
 217.98395    0.93408  0.151  39.26  19.27  16.18 
 217.90166    0.89497  0.124  38.79  19.48  17.48 
 217.92064    0.92840  0.150  39.25  20.12  17.33 
 218.04311    0.95184  0.081  37.81  19.36  17.37 
 218.09981    1.00781  0.079  37.73  19.31  16.72 
 218.10258    0.84476  0.124  38.80  19.40  16.43 
 218.12125    1.00268  0.120  38.72  18.44  16.95 
 218.11697    0.93908  0.137  39.04  20.29  17.25 
 218.11545    1.01546  0.121  38.74  19.49  17.47 
 218.12363    0.94642  0.137  39.03  18.80  17.06 
 218.22643    1.02437  0.156  39.34  19.52  16.78 
 218.30658    0.88172  0.127  38.84  20.40  17.43 
 218.32068    0.95870  0.150  39.25  19.33  17.15 
 218.45979    0.87053  0.116  38.63  18.90  17.21 
 218.47598    0.86398  0.115  38.63  20.30  17.34 
 218.34914    0.96559  0.114  38.61  20.03  17.27 
 218.39745    0.90737  0.120  38.71  18.80  15.84 
 218.40334    0.84525  0.070  37.47  19.28  17.26 
 218.37761    1.00827  0.120  38.71  19.74  16.97 
 218.53069    0.87802  0.129  38.89  20.67  17.15 
 218.49364    0.87118  0.115  38.63  18.63  17.12 
 218.57054    0.88355  0.127  38.84  18.84  17.08 
 218.62184    0.85695  0.128  38.86  19.47  17.21 
 218.67569    0.91383  0.078  37.72  17.94  15.29 
 218.69061    0.88865  0.014  33.90  16.25  13.99 
 218.69295    0.96266  0.137  39.04  19.71  17.32 
 218.73720    0.97254  0.126  38.84  19.80  16.82 
 218.77534    0.95963  0.109  38.49  20.06  16.99 
 218.67177    0.87958  0.119  38.69  20.26  17.09 
 218.66331    0.94787  0.118  38.69  19.61  17.45 
 218.70096    0.88132  0.126  38.83  19.83  17.46 
 218.75905    0.98668  0.125  38.81  19.20  17.19 
 218.93327    1.00042  0.129  38.88  19.74  17.01 
 218.83832    0.93243  0.111  38.54  20.02  17.42 
 218.92908    0.94811  0.120  38.73  19.58  17.26 
 218.89647    0.88884  0.030  35.57  17.33  15.43 
 218.82518    1.01131  0.125  38.81  18.91  17.31 
 218.84067    0.84156  0.078  37.72  19.07  16.93 
 218.94846    0.98566  0.128  38.87  20.37  17.42 
 219.23286    0.85039  0.031  35.60  19.08  17.22 
 219.32233    0.90014  0.079  37.74  19.20  16.39 
 219.25935    0.89371  0.079  37.74  19.93  17.14 
 219.27496    0.88836  0.078  37.72  19.92  17.35 
 219.29370    0.84142  0.078  37.71  19.42  17.32 
 219.39272    0.91937  0.079  37.74  18.77  16.68 
 219.44757    0.94494  0.031  35.63  17.75  16.48 
 219.45462    0.99927  0.123  38.78  19.15  17.46 
 219.51567    0.89356  0.135  38.99  20.20  17.38 
 219.39543    0.97601  0.123  38.78  19.90  17.62 
 219.63205    0.89232  0.229  40.27  20.01  17.35 
 219.58900    0.88557  0.280  40.77  20.83  17.05 
 219.80139    0.94534  0.034  35.87  17.89  16.20 
 219.86172    1.01748  0.082  37.84  18.44  16.31 
 219.89790    1.01502  0.133  38.95  19.72  16.76 
 219.94060    0.90634  0.116  38.63  18.98  16.90 
 220.03722    0.90754  0.034  35.87  17.74  15.83 
 220.01271    0.99642  0.117  38.65  19.59  16.77 
 220.01961    0.99644  0.115  38.62  20.30  17.37 
 220.44322    0.92049  0.033  35.81  17.79  16.36 
 220.59837    0.90798  0.033  35.80  16.26  13.64 
 220.64183    0.97887  0.034  35.81  17.17  14.47 
 221.06104    0.93501  0.131  38.92  19.41  17.27 
 221.07590    0.85406  0.026  35.27  18.31  16.94 
 221.53572    0.86430  0.074  37.59  17.39  16.12 
 221.55563    0.86602  0.029  35.48  17.12  15.45 
 221.63405    0.96045  0.119  38.69  19.16  16.68 
 221.81874    0.92338  0.137  39.03  19.71  16.61 
 221.81541    0.92639  0.137  39.04  19.93  17.27 
 221.90411    0.98878  0.172  39.57  20.64  17.15 
 222.27295    0.97728  0.152  39.28  19.62  17.01 
 222.44589    0.90296  0.212  40.08  20.46  17.11 
 222.40755    0.84279  0.212  40.07  20.80  17.50 
 222.40596    0.84561  0.212  40.07  20.51  16.92 
 222.53503    0.91990  0.141  39.09  19.30  17.62 
 222.67430    0.93240  0.043  36.38  18.66  16.99 
 222.78406    0.88493  0.064  37.25  18.56  15.86 
 222.86984    0.90777  0.043  36.39  18.55  16.12 
 222.87109    0.97222  0.112  38.55  18.87  17.17 
 222.99759    0.88611  0.142  39.11  19.22  16.74 
 223.11050    0.95849  0.069  37.45  19.17  17.53 
 223.28868    0.88679  0.149  39.22  19.90  17.42 
 223.47739    0.86066  0.080  37.78  19.11  16.98 
 223.53212    0.92616  0.081  37.82  18.48  17.37 
 223.56483    0.84357  0.189  39.79  20.03  17.10 
 223.66992    0.91259  0.080  37.78  17.49  15.22 
 223.82288    0.85773  0.044  36.41  19.06  17.45 
 223.93597    0.86611  0.044  36.41  17.89  15.09 
 223.95164    0.86880  0.044  36.43  18.15  15.62 
 223.98515    0.94954  0.043  36.37  18.24  15.69 
 223.99612    0.88057  0.161  39.42  20.38  17.29 
 223.98753    0.90216  0.045  36.46  18.33  17.11 
 224.10635    0.86354  0.035  35.94  18.52  17.09 
 224.35201    0.84544  0.083  37.86  19.37  16.49 
 224.38118    0.88954  0.097  38.21  19.82  17.20 
 224.41180    0.87297  0.097  38.22  19.41  17.38 
 224.51199    0.94364  0.098  38.23  20.06  17.13 
 224.54622    0.88962  0.165  39.47  19.87  16.89 
 224.85625    0.91424  0.180  39.69  20.21  16.90 
 225.03053    0.90516  0.108  38.47  19.36  16.21 
 225.11037    0.86868  0.108  38.47  20.07  17.26 
 225.38264    0.93315  0.119  38.69  19.56  16.99 
 225.98108    0.87242  0.117  38.66  19.24  17.36 
 226.13078    0.92742  0.123  38.78  19.86  16.88 
 226.13887    0.84634  0.095  38.18  19.28  17.50 
 226.29181    0.92718  0.099  38.28  19.43  17.55 
 226.31247    0.92314  0.119  38.70  18.83  16.97 
 226.51630    0.88365  0.094  38.14  18.64  16.49 
 226.49274    0.90162  0.127  38.85  20.41  17.31 
 226.57095    0.90341  0.094  38.14  19.55  17.09 
 226.60612    0.92913  0.032  35.72  16.97  15.24 
 226.70258    0.85686  0.030  35.53  17.63  15.70 
 226.66219    0.91785  0.185  39.75  20.33  17.27 
 226.91859    0.91054  0.048  36.60  18.85  16.50 
 227.03284    0.86281  0.092  38.10  18.99  16.12 
 227.13148    0.87903  0.072  37.54  18.55  15.80 
 227.06949    0.88126  0.093  38.13  19.52  17.39 
 227.19260    0.86583  0.115  38.62  20.03  17.53 
 227.33928    0.85855  0.075  37.62  18.60  16.77 
 227.46353    0.84917  0.125  38.82  19.99  16.88 
 227.41055    0.87168  0.122  38.75  19.32  17.24 
 227.54124    0.86656  0.124  38.79  19.93  17.60 
 227.67160    0.86338  0.218  40.15  20.27  16.90 
 227.78271    0.87864  0.167  39.50  20.47  17.26 
 212.01082    0.22746  0.134  38.97  20.34  17.40 
 212.02528    0.36316  0.114  38.59  19.35  16.42 
 212.10536    0.35141  0.105  38.42  20.23  17.43 
 212.40878    0.22190  0.136  39.00  19.48  16.56 
 212.54544    0.34967  0.129  38.89  19.24  17.09 
 212.63506    0.22419  0.029  35.51  18.91  17.15 
 212.91194    0.39183  0.147  39.19  20.06  17.00 
 212.97450    0.22297  0.056  36.95  17.08  14.44 
 212.94598    0.40565  0.262  40.60  20.94  17.13 
 212.97612    0.33501  0.147  39.20  20.28  17.34 
 212.96883    0.35276  0.147  39.20  19.70  17.33 
 213.27325    0.34229  0.142  39.12  19.66  17.31 
 213.30580    0.30316  0.207  40.02  20.64  17.20 
 213.45967    0.26975  0.125  38.81  20.38  17.37 
 213.46141    0.26105  0.128  38.86  19.72  16.76 
 213.50099    0.39317  0.189  39.80  20.55  17.09 
 213.46527    0.21252  0.123  38.78  19.59  17.25 
 213.65273    0.26335  0.122  38.76  19.57  16.55 
 213.57370    0.22684  0.192  39.84  20.23  17.12 
 213.66936    0.39620  0.054  36.90  17.86  16.50 
 213.71120    0.31893  0.039  36.14  18.47  16.51 
 213.78387    0.33214  0.184  39.73  19.95  17.53 
 213.69333    0.29200  0.083  37.86  19.92  17.52 
 213.85046    0.24780  0.077  37.69  18.05  15.41 
 213.86801    0.22732  0.054  36.88  18.43  15.86 
 213.88448    0.31308  0.125  38.81  20.03  17.31 
 213.83752    0.35207  0.191  39.83  20.39  17.44 
 213.95352    0.26043  0.126  38.83  19.45  16.41 
 213.94560    0.25765  0.126  38.84  19.46  16.44 
 213.94626    0.28578  0.126  38.82  20.31  17.06 
 213.95877    0.24229  0.126  38.83  20.19  17.33 
 213.96349    0.26304  0.126  38.84  20.32  17.21 
 214.10005    0.29351  0.085  37.90  19.99  17.16 
 213.97948    0.26841  0.126  38.83  20.11  17.26 
 213.98709    0.25878  0.128  38.88  20.55  17.50 
 214.07268    0.30296  0.128  38.86  20.28  17.42 
 213.98328    0.29413  0.130  38.91  19.98  17.64 
 213.99228    0.36609  0.144  39.14  19.22  16.84 
 214.01855    0.21626  0.026  35.22  18.68  17.13 
 214.14868    0.31403  0.117  38.66  19.34  17.20 
 214.19373    0.39880  0.125  38.81  20.10  17.25 
 214.20461    0.27255  0.144  39.15  20.41  17.44 
 214.33452    0.40347  0.048  36.62  18.95  16.19 
 214.37773    0.35056  0.054  36.86  17.31  14.61 
 214.40555    0.32912  0.051  36.76  17.31  15.55 
 214.31339    0.22076  0.077  37.70  18.13  16.02 
 214.55055    0.35891  0.053  36.86  19.01  16.30 
 214.45978    0.32795  0.050  36.72  18.88  16.34 
 214.46359    0.31953  0.053  36.83  18.50  15.68 
 214.46515    0.23337  0.053  36.85  18.99  16.39 
 214.49837    0.26743  0.053  36.85  17.57  14.72 
 214.51701    0.27383  0.050  36.72  18.47  15.79 
 214.53073    0.31112  0.073  37.57  19.93  17.35 
 214.44084    0.37262  0.054  36.87  20.00  17.48 
 214.44357    0.34144  0.051  36.73  19.82  17.63 
 214.46797    0.36302  0.050  36.69  19.42  17.46 
 214.49095    0.33878  0.048  36.63  18.19  16.65 
 214.52287    0.22740  0.053  36.86  18.56  16.68 
 214.55840    0.25806  0.053  36.83  18.48  16.60 
 214.63678    0.31212  0.100  38.30  19.55  16.79 
 214.73904    0.36562  0.053  36.85  18.09  15.67 
 214.76686    0.35660  0.123  38.77  19.60  16.81 
 215.01421    0.23538  0.085  37.91  19.15  17.36 
 215.05811    0.26105  0.053  36.84  18.55  17.12 
 215.08929    0.24799  0.131  38.93  18.96  17.53 
 215.19658    0.36157  0.121  38.74  19.86  17.13 
