# Catalog of 6,669 unique galaxies from SDSS Data Release 1
# In addition, galaxies are selected by the following conditions:
#    12 < rPetrosian < 17.77 
#  0.01 <  redshift  < 0.30
#    good imaging magnitudes,
#  212 < RA < 228 and -1 < Dec < 4
# The listed parameters are:
# RA/Dec: equatorial position in decimal deg.
# redshift, determined from SDSS spectrum
# DM: distance module for WMAP cosmology (magnitudes)
# absolute magnitude Mr = r - DM
# u and r: model magnitude, u-r=2.22 is a good separator
#          of spiral and elliptical galaxies (see Strateva et al. 2001)
#
#    RA         Dec  redshift   DM     u      r  
 216.37793   -0.70215  0.136  39.01  19.23  17.29 
 216.52228   -0.67341  0.103  38.37  18.92  16.22 
 216.42009   -0.66061  0.050  36.71  18.72  17.35 
 216.42747   -0.79840  0.104  38.38  19.77  17.25 
 216.72044   -0.73442  0.073  37.56  18.42  16.64 
 216.73247   -0.70223  0.073  37.57  18.53  16.74 
 216.83980   -0.79503  0.030  35.58  18.68  17.27 
 216.93002   -0.73338  0.099  38.27  19.83  16.75 
 216.96877   -0.63067  0.137  39.03  19.06  17.41 
 217.02548   -0.64442  0.074  37.59  19.36  17.01 
 217.03261   -0.66843  0.134  38.97  19.32  16.42 
 217.04584   -0.72219  0.073  37.56  18.17  15.11 
 217.05670   -0.66586  0.073  37.57  18.64  16.11 
 217.04387   -0.68462  0.055  36.93  18.49  15.59 
 217.16035   -0.83068  0.080  37.77  18.24  15.52 
 217.21658   -0.66135  0.142  39.12  19.10  17.56 
 217.29370   -0.66733  0.218  40.15  20.43  17.21 
 217.39749   -0.64098  0.083  37.87  18.71  17.10 
 217.38095   -0.65420  0.132  38.94  20.10  17.25 
 217.34471   -0.82754  0.048  36.63  18.87  16.39 
 217.46889   -0.69432  0.132  38.93  19.18  16.31 
 217.48766   -0.74744  0.083  37.86  18.39  15.59 
 217.58493   -0.63674  0.131  38.93  19.67  16.67 
 217.68677   -0.79862  0.035  35.91  18.01  16.48 
 217.63004   -0.82281  0.082  37.85  19.71  17.20 
 217.66484   -0.64844  0.132  38.93  20.02  17.15 
 217.78784   -0.83054  0.082  37.84  20.20  17.25 
 217.84410   -0.75613  0.132  38.94  19.74  16.75 
 218.04475   -0.79704  0.151  39.26  20.03  17.61 
 218.31287   -0.82460  0.089  38.02  18.54  15.65 
 218.24782   -0.74465  0.163  39.45  20.06  17.42 
 218.36365   -0.80061  0.056  36.95  18.14  16.33 
 218.37604   -0.81034  0.056  36.96  18.43  16.46 
 218.37558   -0.83115  0.056  36.96  18.43  15.64 
 218.42752   -0.80006  0.056  36.97  18.02  16.45 
 218.34686   -0.79449  0.229  40.27  20.97  17.19 
 218.59654   -0.71070  0.163  39.44  19.30  17.50 
 218.51175   -0.64337  0.148  39.21  19.96  17.26 
 218.59094   -0.69509  0.219  40.16  19.77  17.30 
 218.76294   -0.66183  0.108  38.46  19.83  16.90 
 218.77348   -0.76005  0.081  37.81  19.05  16.25 
 218.72346   -0.63762  0.137  39.04  18.33  16.21 
 218.78915   -0.64318  0.107  38.45  19.20  16.25 
 218.77322   -0.68800  0.107  38.46  18.82  17.12 
 218.89499   -0.70938  0.257  40.55  20.88  17.36 
 219.08058   -0.70224  0.106  38.43  19.20  17.28 
 219.14696   -0.76470  0.106  38.44  18.45  16.95 
 219.20822   -0.70347  0.214  40.10  19.55  17.27 
 219.21217   -0.70028  0.215  40.11  20.17  16.62 
